40N||1||1||10	LIBRO de la generacion de Jesu-Cristo, hijo de David, hijo de Abraham.
40N||24||50||8630	Vendrá el Señor de aquel siervo, en el dia que no espera, y á la hora que no sabe, 
40N||24||51||8640	Y le cortará por medio, y pondrá su parte con los hipócritas: allí será el lloro, y el crujir de dientes.
40N||25||1||8650	ENTÓNCES el reino de los cielos sera semejante á diez vírgenes, que tomando sus lámparas, salieron á recibir al esposo.
40N||25||2||8660	Y las cinco de ellas eran prudentes y las cinco fátuas.
40N||25||3||8670	Las que [eran] fátuas, tomando sus lámparas, no tomaron consigo aceite:
40N||25||4||8680	Mas las prudentes tomaron aceite en sus vasos, [juntamente] con sus lámparas.
40N||25||5||8690	Y tardándose el esposo, cabecearon todas, y se durmieron.
40N||25||6||8700	Y á la media noche fué oido un clamor: Hé aquí, el esposo viene, salid á recibirle.
40N||25||7||8710	Entónces todas aquellas vírgenes se levantaron, y aderezaron sus lámparas.
40N||25||8||8720	Y las fátuas dijeron á las prudentes: Dadnos de vuestro aceite; porque nuestras lámparas se apagan.
40N||25||9||8730	Mas las prudentes respondieron, diciendo: Porque no nos falte á nosotras y á vosotras, id ántes á los que venden, y comprad para vosotras. 
40N||25||10||8740	Y mientras^ que ellas iban á comprar, vino el esposo; y las que estaban apercibidas, entraron con él á las bodas, y se cerró la puerta. 
40N||25||11||8750	Y despues vinieron tambien las otras vírgenes, diciendo: Señor, Señor, ábrenos. 
40N||25||12||8760	Mas respondiendo él, dijo: De cierto os digo, [que] no os conozco. 
40N||25||13||8770	Velad pues, porque no sabeis el dia ni la hora, en que el Hijo del hombre ha de venir. 
40N||25||14||8780	Porque el reino de los cielos [es] como un hombre que partiéndose léjos llamó á sus siervos, y les entregó sus bienes. 
40N||25||15||8790	Y á este dió cinco talentos, y al otro dos, y al otro uno; á cada uno conforme á su facultad, y luego se partió lejos. 
40N||25||16||8800	Y el que habia recibido cinco talentos se fué, y granjeo con ellos, é hizo otros cinco talentos. 
40N||25||17||8810	Asimismo el que [habia recibido] dos ganó tambien él otros dos. 
40N||25||18||8820	Mas el que habia recibido uno, fué, y cavó en la tierra, y escondió el dinero de su señor. 
40N||25||19||8830	Y despues de mucho tiempo vino el señor de aquellos siervos, é hizo cuentas con ellos. 
40N||25||20||8840	Y llegando el que habla recibido cinco talentos, trajo otros cinco talentos, diciendo: Señor, cinco talentos me entregaste; hé aquí otros cinco talentos he ganado sobre ellos. 
40N||25||21||8850	Y su señor le dijo: Bien, buen siervo y fiel; sobre poco has sido fiel, sobre mucho te pondré: entra en el gozo de tu señor. 
40N||25||22||8860	Y llegando tambien el que habia recibido dos talentos, dijo: Señor, dos talentos me entregaste; hé aquí otros dos talentos he ganado sobre ellos. 
40N||25||23||8870	Su señor le dijo: Bien, buen siervo y fiel; sobre poco has sido fiel, sobre mucho te pondré: entra en el gozo de tu señor. 
40N||25||24||8880	Y llegando tambien el que habia recibido un talento, dijo: Señor, yo te conocia que eres hombre duro, que siegas donde no sembraste, y recoges donde no esparciste: 
40N||25||25||8890	Y tuve miedo, y fuí, y escondí tu talento en la tierra: hé aquí tienes lo que [es] tuyo. 
40N||25||26||8900	Y respondiendo su señor, le dijo: Malo y negligente siervo, sabias que siego donde no sembré, y [que] recojo donde no esparcí: 
40N||25||27||8910	Por tanto te convenia dar mi dinero á los banqueros; y viniendo yo, hubiera recibido lo que [es] mio con usura. 
40N||25||28||8920	Quitadle pues el talento, y dad[lo] al que tiene diez talentos. 
40N||25||29||8930	Porque á cualquiera que tuviere, le será dado, y tendrá más: y al que no tuviere, aun lo que tiene le será quitado.  
40N||25||30||8940	Y al siervo inútil echadle en las tinieblas de afuera: allí será el lloro, y el crujir de dientes. 
40N||25||31||8950	Y cuando el Hijo del hombre venga en su gloria, y todos los santos ángeles con él, entónces se sentará sobre el trono de su gloria. 
40N||25||32||8960	Y serán reunidas delante de él todas las gentes: y los apartará los unos de los otros, como aparta el pastor las ovejas de los cabritos: 
40N||25||33||8970	Y pondrá las ovejas á su derecha, y los cabritos á la izquierda. 
40N||25||34||8980	Entónces el Rey dirá á los que [estarán] á su derecha: Venid, benditos de mi Padre, heredad el reino preparado para vosotros desde la fundacion del mundo. 
40N||25||35||8990	Porque tuve hambre, y me disteis de comer; tuve sed, y me disteis de beber; fuí huésped, y me recogisteis; 
40N||25||36||9000	Desnudo, y me cubristeis; enfermo y me visitasteis: estuve en la cárcel, y vinisteis á mí. 
40N||25||37||9010	Entónces los justos le responderán diciendo: Señor, ¿cuándo te vimos hambriento, y [te] sustentamos? ¿ó sediento, y [te] dimos de beber? 
40N||25||38||9020	¿Y cuándo te vimos huésped, y [te] recogimos? ¿ó desnudo, y [te] cubrimos? 
40N||25||39||9030	¿O cuándo te vimos enfermo, ó en la cárcel, y vinimos á tí? 
40N||25||40||9040	Y respondiendo el Rey, les dirá: De cierto os digo, [que] en cuanto [lo] hicisteis á uno de estos mis hermanos pequeñitos, á mí [lo] hicisteis. 
40N||25||41||9050	Entónces dirá tambien á los que [estarán] á la izquierda: Apartáos de mí malditos, al fuego eterno preparado para el diablo, y para sus ángeles. 
40N||25||42||9060	Porque tuve hambre, y no me disteis de comer; tuve sed, y no me disteis de beber; 
40N||25||43||9070	Fuí huésped, y no me recogisteis; desnudo, y no me cubrísteis; enfermo, y en la cárcel, y no me visitásteis. 
40N||25||44||9080	Entónces ellos tambien le responderán, diciendo: Señor, ¿cuándo te vimos hambriento, ó sediento, ó huésped, ó desnudo, ó enfermo, ó en la cárcel, y no te servimos? 
40N||25||45||9090	Entónces les responderá, diciendo: De cierto os digo, [que] en cuanto no [lo] hicisteis á uno de estos pequeñitos, ni á mí [lo] hicisteis. 
40N||25||46||9100	E irán estos al tormento eterno; y los justos á la vida eterna.
40N||26||1||9110	Y ACONTECIÓ que como hubo acabado Jesus todas estas palabras, dijo á sus discípulos:
40N||26||2||9120	Sabeis que dentro de dos dias se hace la Pascua, y el Hijo del hombre es entregado para ser crucificado.
40N||26||3||9130	Entónces los príncipes de los sacerdotes, y los escribas, y los ancianos del pueblo se juntaron al patio del pontífice, el cual se llamaba Caifás.
40N||26||4||9140	Y tuvieron consejo para prender por engaño á Jesus, y matar[le.]
40N||26||5||9150	Y decian: No en el dia de la fiesta, porque no se haga alboroto en el pueblo.
40N||26||6||9160	Y estando Jesus en Bethania, en casa de Simon el leproso,
40N||26||7||9170	Vino á él una mujer, teniendo un vaso de alabastro de ungüento de gran precio, y lo derramó sobre la cabeza de él estando sentado á la mesa:
40N||26||8||9180	Lo cual viendo sus discípulos, se enojaron, diciendo: ¿Por que se pierde esto?
40N||26||9||9190	Porque esto se podia vender por gran precio, y darse á los pobres. 
40N||26||10||9200	Y entendiéndo[lo] Jesus, les dijo: ¿Por qué dais pena á esta mujer, pues ha hecho conmigo buena obra. 
40N||26||11||9210	Porque siempre tendréis pobres con vosotros; mas á mí no siempre me tendréis. 
40N||26||12||9220	Porque echando este ungüento sobre mi cuerpo, para sepultarme [lo] ha hecho. 
40N||26||13||9230	De cierto os digo, [que] donde quiera que este Evangelio fuere predicado en todo el mundo, tambien será dicho para memoria de ella lo que esta ha hecho. 
40N||26||14||9240	Entónces uno de los doce, que se llamaba Judas Iscariote, fué á los príncipes de los sacerdotes, 
40N||26||15||9250	Y les dijo: ¿Que me quereis dar, y yo os le entregaré? Y ellos le señalaron treinta [piezas] de plata. 
40N||26||16||9260	Y desde entónces buscaba oportunidad para entregarle. 
40N||26||17||9270	Y el primer dia [de la fiesta] de los [panes] sin levadura, vinieron los discípulos á Jesus, diciéndole: ¿Dónde quieres que aderecemos para tí para comer la Pascua? 
40N||26||18||9280	Y el dijo: Id á la ciudad á cierto hombre, y decidle: El Maestro dice: Mi tiempo esta cerca; en tu casa haré la Pascua con mis discípulos. 
40N||26||19||9290	Y los discípulos hicieron como Jesus les mandó, y aderezaron la Pascua. 
40N||26||20||9300	Y como fué la tarde del dia, se sentó á la mesa con los doce. 
40N||26||21||9310	Y comiendo ellos, dijo: De cierto os digo que uno de vosotros me ha de entregar. 
40N||26||22||9320	Y entristecidos ellos en gran manera, comenzó cada uno de ellos á decirle: ¿Soy yo, Señor? 
40N||26||23||9330	Entónces el respondiendo, dijo: El que mete la mano conmigo en el plato, ese me ha de entregar. 
40N||26||24||9340	A la verdad el Hijo del hombre va como está escrito de él; mas ¡ay de aquel hombre por quien el Hijo del hombre es entregado! bueno le fuera al tal hombre no haber nacido. 
40N||26||25||9350	Entónces respondiendo Júdas, que le entregaba, dijo: ¿Soy yo, Maestro? Dícele: Tú [lo] has dicho. 
40N||26||26||9360	Y comiendo ellos, tomó Jesus el pan, y bendijo, y [lo] partió, y dió á sus discípulos, y dijo: Tomad, comed; esto es mi cuerpo. 
40N||26||27||9370	Y tomando el vaso, y hechas gracias se les dió, diciendo: Bebed de él todos; 
40N||26||28||9380	Porque esto es mi sangre del Nuevo Pacto, la cual es derramada por muchos para remision de los pecados. 
40N||26||29||9390	Y os digo, que desde ahora no beberé más de este fruto de la vid, hasta aquel dia, cuando lo tengo de beber nuevo con vosotros en el reino de mi Padre. 
40N||26||30||9400	Y habiendo cantado el himno, salieron al monte de las Olivas. 
40N||26||31||9410	Entónces Jesus les dice: Todos vosotros seréis escandalizados en mí esta noche; porque escrito está: Heriré al Pastor, y las ovejas de la manada serán dispersas. 
40N||26||32||9420	Mas despues que haya resucitado, iré delante de vosotros á Galiléa. 
40N||26||33||9430	Y respondiendo Pedro, le dijo: Aunque todos sean escandalizados en tí, yo nunca seré escandalizado. 
40N||26||34||9440	Jesus le dice: De cierto te digo que esta noche, ántes que el gallo cante, me negarás tres veces. 
40N||26||35||9450	Dícele Pedro: Aunque me sea menester morir contigo, no te negaré. Y todos los discípulos dijeron lo mismo. 
40N||26||36||9460	Entónces llegó Jesus con ellos á la aldéa, que se llama Getsemaní, y dice á sus discípulos: Sentáos aquí, hasta que vaya allí, y ore. 
40N||26||37||9470	Y tomando á Pedro, y á los dos hijos de Zebedéo, comenzó á entristecerse, y á angustiarse en gran manera. 
40N||26||38||9480	Entónces Jesus les dice: Mi alma está muy triste hasta la muerte; quedáos aquí, y velad conmigo. 
40N||26||39||9490	Y yéndose un poco más adelante se postró sobre su rostro, orando y diciendo: Padre mio, si es posible pase de mí este vaso; empero no como yo quiero, sino como tú. 
40N||26||40||9500	Y vino á sus discípulos y los halló durmiendo; y dijo á Pedro: ¿Así, no habeis podido velar conmigo una hora? 
40N||26||41||9510	Velad, y orad, para que no entreis en tentacion: el espíritu á la verdad [está] presto, mas la carne enferma. 
40N||26||42||9520	Otra vez fué, segunda vez, y oró diciendo: Padre mio, si no puede este vaso pasar de mí sin que yo lo beba, hágase tu voluntad. 
40N||26||43||9530	Y vino, y los halló otra vez durmiendo: porque los ojos de ellos estaban agravados. 
40N||26||44||9540	Y dejándolos, fuese de nuevo, y oró tercera vez, diciendo las mismas palabras. 
40N||26||45||9550	Entónces vino á sus discípulos, y díceles: Dormid ya, y descansad; hé aquí ha llegado la hora, y el Hijo del hombre es entregado en manos de pecadores. 
40N||26||46||9560	Levantáos, vamos: hé aquí ha llegado el que me ha entregado. 
40N||26||47||9570	Y hablando aun él, hé aquí Júdas, uno de los doce, vino, y con él mucha gente con espadas y con palos, de parte de los príncipes de los sacerdotes, y de los ancianos del pueblo. 
40N||26||48||9580	Y el que le entregaba les habia dado señal, diciendo: Al que yo besare, aquel es; prendedle. 
40N||26||49||9590	Y luego que llegó á Jesus, dijo: Salve, Maestro. Y le besó, 
40N||26||50||9600	Y Jesus le dijo: Amigo, ¿á que vienes? Entónces llegaron, y echaron mano á Jesus, y le prendieron. 
40N||26||51||9610	Y hé aquí uno de los que [estaban] con Jesus, extendiendo la mano, sacó su espada, é hiriendo á un siervo del pontífice, le quitó la oreja. 
40N||26||52||9620	Entónces Jesus le dice: Vuelve tu espada á su lugar; porque todos los que tomaren espada, á espada perecerán. 
40N||26||53||9630	¿Acaso piensas que no puedo ahora orar á mi Padre, y él me daria mas de doce legiones de ángeles, 
40N||26||54||9640	¿Cómo pues se cumplirian las escrituras, [de] que así conviene que sea hecho? 
40N||26||55||9650	En aquella hora dijo Jesus á las gentes: Como á ladron habeis salido con espadas y con palos á prenderme: cada dia me sentaba con vosotros enseñando en el templo, y no me prendisteis. 
40N||26||56||9660	Mas todo esto se hace, para que se cumplan las escrituras de los profetas. Entónces todos los discípulos huyeron dejándole. 
40N||26||57||9670	Y ellos, prendido Jesus, le llevaron á Caifás pontífice, donde los escribas y los ancianos estaban juntos. 
40N||26||58||9680	Mas Pedro le seguia de léjos hasta el patio del pontífice; y entrado dentro, estábase sentado con los criados para ver el fin. 
40N||26||59||9690	Y los príncipes de los sacerdotes, y los ancianos, y todo el consejo, buscaban [algun] falso testimonio contra Jesus para entregarle á la muerte: 
40N||26||60||9700	Y no [lo] hallaron, aunque muchos testigos falsos se llegaban: mas á la postre vinieron dos testigos falsos, 
40N||26||61||9710	Que dijeron: Este dijo: Puedo derribar el templo de Dios, y en tres dias reedificarlo. 
40N||26||62||9720	Y levantándose el pontífice, le dijo: ¿No respondes nada? ¿qué testifican estos contra tí? 
40N||26||63||9730	Mas Jesus callaba. Respondiendo el pontífice, le dijo: Te conjuro por el Dios viviente, que nos digas si eres tú el Cristo, Hijo de Dios. 
40N||26||64||9740	Jesus le dice: Tú [lo] has dicho: y aun os digo, que desde ahora habeis de ver al Hijo del hombre sentado á la diestra de la potencia de Dios, y que viene en las nubes del cielo. 
40N||26||65||9750	Entónces el pontífice rasgó sus vestidos, diciendo: Blasfemado ha: ¿Qué más necesidad tenemos de testigos? Hé aquí ahora habeis oido su blasfemia. 
40N||26||66||9760	¿Qué os parece? Y respondiendo ellos dijeron: Culpado es de muerte. 
40N||26||67||9770	Entónces le escupieron en el rostro, y le dieron de bofetadas; y otros le herian con mojicones, 
40N||26||68||9780	Diciendo: Profetízanos tú, Cristo quién es el que te ha herido. 
